緯度,経度,住所,名称,サービス種別,費用,療育内容,電話番号
35.87442,139.659256,埼玉県さいたま市浦和区領家3-4-8,はばたき＆らんどおん,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、食育／外出体験活動／戸外活動（散歩など）,048-767-6210 / 048-711-6660
35.850216,139.693924,埼玉県さいたま市南区円正寺502-8,グローバルキッズメソッド７１,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス／郊外活動／創作活動,048-767-5283
35.837685,139.641342,埼玉県さいたま市南区曲本4-5-16,児童デイサービスあさひ丸リズム,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、パネルシアター,048-767-4888
35.843803,139.659683,埼玉県さいたま市南区根岸4-15-4,さくらアフタースクール南浦和,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス／調理活動／創作活動,048-799-2440
35.843304,139.654602,埼玉県さいたま市南区根岸5-15-8 YKビル3階,体幹・脳幹・ＳＳＴソーシャルブレインズ武蔵浦和教室,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング／科学実験／工作,048-789-7617
35.840717,139.634186,埼玉県さいたま市南区四谷1-5-1 貴秋館202,ててスクール　武蔵浦和教室,放課後デイ,受給者証: 月上限4600円,学習支援、日常動作、創作活動／絵画制作,048-845-7055
35.842094,139.639481,埼玉県さいたま市南区四谷2-5-11 一英ビル1階,放課後等デイサービス　ウィズ・ユー武蔵浦和,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ダンス／調理活動／創作活動,048-708-5541
35.845779,139.637238,埼玉県さいたま市南区鹿手袋6-7-19 1F,児童デイサービスあさひ丸,児童発達支援・放課後デイ,受給者証: 月上限4600円,音楽/リトミック、日常動作、調理活動／園芸,048-799-2113
35.852837,139.682404,埼玉県さいたま市南区太田窪1987 クリーンハイツ南浦和1階,児童発達支援・放課後等デイサービス　ぼれろ,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／調理プログラム／タッチパネルを使用したソーシャルスキルトレーニング（運動活動）,048-711-5067
35.84864,139.692413,埼玉県さいたま市南区大字太田窪3501-2,キッズさくら草,放課後デイ,受給者証: 月上限4600円,創作活動／動作法,048-813-7426
35.858883,139.695953,埼玉県さいたま市南区大谷口5408,アフタースクール　わんぱく,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、創作活動／作業活動／音楽,048-873-2828
35.855484,139.694702,埼玉県さいたま市南区大谷口5651,わんぱくキッズ,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、戸外活動／ダンス／創作活動,048-762-8377
35.855602,139.671844,埼玉県さいたま市南区大谷場2-4-5 オークパレス103号室,児童デイサービスあさひ丸パーク,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、SST、サーキット運動／製作活動／課外活動（お買い物・遠足など）,048-711-7705
35.839188,139.660553,埼玉県さいたま市南区辻2-1-14,児童デイサービスあさひ丸ひろば第二,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、日常動作、ダンス　　　　　　　　　　　　　　　　　　　　　　　　　創作活動,048-762-6725
35.839001,139.660828,埼玉県さいたま市南区辻2-1-16,児童デイサービスあさひ丸ひろば,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、日常動作、ダンス／創作活動,048-711-6461
35.836163,139.650482,埼玉県さいたま市南区内谷6-7-10-4,児童デイサービスはる,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,048-711-2300
35.845493,139.674301,埼玉県さいたま市南区南浦和3-43-15,児童デイサービスまはろ南浦和,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、日常動作、SST、調理活動／創作活動／外出など,048-813-0001
35.845936,139.669327,埼玉県さいたま市南区南本町1-5-9,放課後等デイサービスFlos,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、SST、不登校支援／保護者に心理的サポート／鍼灸体験会,048-844-1111
35.845413,139.669052,埼玉県さいたま市南区南本町1-10-2 南本町ビル2階,てらぴぁぽけっと南浦和教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、日常動作、SST、創作活動,048-767-8092
35.848473,139.649155,埼玉県さいたま市南区別所2-6-17,リッツジュニア,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ゲーム／ダンス／季節のイベント,048-606-3983
35.848053,139.647049,埼玉県さいたま市南区別所6-4-25 NKGビル1階,I Tryジュニア武蔵浦和,児童発達支援・放課後デイ,受給者証: 月上限4600円,学習支援、日常動作、SST、ゲーム療法／調理活動／遠足・社会科見学,048-789-6490
35.888115,139.693604,埼玉県さいたま市緑区宮本2-19-27,児童デイサービスはなみずき,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、日常動作、SST、体幹ストレッチ／調理活動／創作活動,048-712-6350
35.87162,139.672592,埼玉県さいたま市緑区原山3-8-6,放課後等デイサービス　ウィズ・ユーさいたま原山,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、音楽活動／調理活動／アートセラピー,048-762-9373
35.893532,139.666077,埼玉県さいたま市緑区三室422-6 1階,アフタースクール　フォーワンズ・アイキッズ,児童発達支援・放課後デイ,受給者証: 月上限4600円,微細運動、音楽/リトミック、SST、ダンス／ヨガ／天神(Webラーニング),048-749-1205
35.889317,139.671158,埼玉県さいたま市緑区三室867-4,こども未来支援みらいのボクら　にじ,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、社会体験活動,048-673-4933
35.881149,139.676285,埼玉県さいたま市緑区三室1342-2 齋藤マンション101,こども未来支援　みらいのボクら,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、社会体験活動,048-673-4933
35.889191,139.676514,埼玉県さいたま市緑区三室2400-8,まなびじょん,放課後デイ,受給者証: 月上限4600円,粗大運動、ビジョントレーニング／発達統合トレーニング,090-8372-0296
35.883263,139.68898,埼玉県さいたま市緑区松木3-26-29 ホームエージェントビル3F,mana東うらわ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、キッズピラティス／セカンドステップ／創作活動,048-816-4529
35.861904,139.666382,埼玉県さいたま市緑区太田窪1-1-3,ててスクール　浦和教室,放課後デイ,受給者証: 月上限4600円,学習支援、日常動作、創作活動／絵画制作,048-711-8747
35.874714,139.697159,埼玉県さいたま市緑区大間木435-1,児童デイあったまぁる緑,放課後デイ,受給者証: 月上限4600円,音楽/リトミック、日常動作、SST、シナプソロジー,048-876-0841
35.882812,139.715622,埼玉県さいたま市緑区大崎37-1,さいたま市大崎むつみの里第２事業所,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作,048-878-2045
35.890816,139.669937,埼玉県さいたま市緑区大字三室704,放課後デイサービス　ナナフシ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、課外活動／地域との交流,048-708-4325
35.864834,139.711105,埼玉県さいたま市緑区大字大間木231,児童デイ　みかんの家,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、調理／創作,048-876-3466
35.87326,139.677811,埼玉県さいたま市緑区中尾291-2,おひさま,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／作業指導,048-789-7497
35.87326,139.677811,埼玉県さいたま市緑区中尾291-2,Ｃｏｎｎｅｃｔ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／作業指導,048-753-9437
35.865017,139.700317,埼玉県さいたま市緑区東浦和3-1-32-104,児童デイあったまぁる東,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、e-sports／創作活動／教科学習,048-829-9245
35.865917,139.703644,埼玉県さいたま市緑区東浦和4-1-8,療育発達支援スタジオCoreMore　Class東浦和,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、創作活動,048-762-6127
35.865253,139.703049,埼玉県さいたま市緑区東浦和4-2-2 クレセントビル301号,jubico palette,放課後デイ,受給者証: 月上限4600円,微細運動、日常動作、SST、美術／手芸・工芸／PC・タブレット,048-711-6023
35.870365,139.700226,埼玉県さいたま市緑区東浦和4-33-14,ハッピーテラス東浦和教室,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、SST、調理活動／創作活動,048-762-3333
35.893276,139.714737,埼玉県さいたま市緑区南部領辻3713-2,児童デイあったまぁる美園,放課後デイ,受給者証: 月上限4600円,日常動作,048-812-2777
35.899246,139.729385,埼玉県さいたま市緑区美園3-3-6,子ども発達支援センターつむぎ浦和美園,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,048-767-4602
35.968105,139.700974,埼玉県さいたま市岩槻区上野1-6-11,放課後等デイサービス　ウィズ・ユー岩槻上野,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、運動療法（ダンス、リズム体操）／調理活動／創作活動,048-795-4450
35.947556,139.711807,埼玉県さいたま市岩槻区城町2-9-39,にじいろクラスフラットいわつき,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、SST、ボール活動／スポーツ活動(バレー、サッカー・野球等)／ランニング活動(散歩、マラソン、おにごっこ等),090-4602-5050
35.941494,139.700928,埼玉県さいたま市岩槻区城南1-2-69,ともだちの家スピカ,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、アート／創作活動,048-731-8255
35.940285,139.717651,埼玉県さいたま市岩槻区城南5-8-8-1,ちあふる,児童発達支援・放課後デイ,受給者証: 月上限4600円,微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ダンス／創作活動,048-795-6054
35.966427,139.710342,埼玉県さいたま市岩槻区諏訪1-2-14 大双東岩槻ビル1F,総合発達支援デイサービスきぼう,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、SST、創作活動／調理活動,048-884-8676
35.937218,139.72084,埼玉県さいたま市岩槻区大字飯塚1198-2,多機能型事業所わかくさ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、パソコン操作／創作活動／調理活動,048-798-4534
35.937374,139.684036,埼玉県さいたま市岩槻区谷下1-1,障害福祉サービス事業所カーサ岩槻,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、日常動作、遠足,048-749-2777
35.948078,139.701981,埼玉県さいたま市岩槻区仲町1-12-16,工房ポルトス,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、作業活動,048-749-5178
35.965439,139.708054,埼玉県さいたま市岩槻区東岩槻2-5-8 塩澤ビル1F,放課後等デイサービスきぼう東岩槻,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、SST、調理活動／社会体験／創作活動,048-797-6664
35.955315,139.703598,埼玉県さいたま市岩槻区本丸1-19-14,manaいわつき,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、キッズピラティス／セカンドステップ／創作活動,048-795-4117
35.946213,139.693787,埼玉県さいたま市岩槻区本町1-17-11,BOOK,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、ダンス,048-812-5892
35.946049,139.693756,埼玉県さいたま市岩槻区本町2-2-38,はぐみー,児童発達支援・放課後デイ,受給者証: 月上限4600円,創作活動（工作）,048-797-8923
35.946766,139.698746,埼玉県さいたま市岩槻区本町4-10-8 佐藤ビル202号室・203号室,こぱんはうすさくら岩槻教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／ダンス／外出,048-749-6077
