名称,住所,電話番号,サービス種別,開所曜日,提供時間,専門職,療育プログラム,個別療育,親支援,設備,費用,説明
ハビー大宮桜木町４丁目教室,埼玉県さいたま市大宮区桜木町4-202 桜木町橋本ビル2階,048-788-2402,放課後デイ,月～日,平日１０：３０～１９：３０ 土曜日０９：００～１８：００ 学校休業日０９：００～１８：００,OT○,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／レクリエーション／季節のイベント,○,,トランポリン、平均台、バランスボール、バランスストーン（飛び石）、ストレッチ用マット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動/レクリエーション/季節のイベント 専門職: OT○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
まはろ　桜木町,埼玉県さいたま市大宮区桜木町4-528,048-783-4038,放課後デイ,月～日,平日1１４：００～１８：００ 土・日・祝１０：００～１８：００,臨床心理士○,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、音楽療法／ダンス／工作,○,○,バウンサー、バランスボール、トランポリン,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、音楽療法/ダンス/工作 専門職: 臨床心理士○ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラス　大宮三橋教室,埼玉県さいたま市大宮区三橋1-1199 オフィスDUO B-室,048-783-4649,児童発達支援,火～土,１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST,○,○,鉄棒、平均台、トランポリン、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイえがお大宮,埼玉県さいたま市大宮区上小町787-6,048-783-4621,児童発達支援・放課後デイ,月～日,（１）児童発達支援　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平日１０：００～１８：００ 土曜日・日曜日・祝日１０：００～１８：００ （２）放課後等デイサービス　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　平日１４：００～１８：００ 土曜日・日曜日・祝日１０：００～１８：００ 学校休業日１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動／調理活動／創作活動,○,,トランポリン、バランスストーン、プロジェクター,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動/調理活動/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスあさひ丸新都心,埼玉県さいたま市大宮区北袋町2-400-2 町田ビル3 2F,048-788-4052,児童発達支援・放課後デイ,月～土,平日１２：００～１８：００ 土曜日９：００～１７：００ 学校休業日９：００～１７：００,,粗大運動、微細運動、言語指導、日常動作、ダンス　／体幹運動／集団遊び,,,トランポリン、ボルタリング、ボールプール、バランスボール、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、日常動作、ダンス /体幹運動/集団遊び 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
たんぽぽ療育東教室,埼玉県さいたま市見沼区御蔵771-12,048-872-7808,児童発達支援・放課後デイ,月～金,平日： １１：００～１７：００ 土曜日： １０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、畑体験,,,畑スペース,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、畑体験 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
スマイルスタディ,埼玉県さいたま市見沼区御蔵1522-19,048-716-0563,児童発達支援・放課後デイ,月～土,平日１４：００～１７：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、課外活動／調理活動／創作活動,,,DCD用運動療育機器、LD用読みの学習機器、机椅子、冷蔵庫、調理用コンロ,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、課外活動/調理活動/創作活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
スマイルリズム,埼玉県さいたま市見沼区御蔵1522-20,048-716-5832,児童発達支援・放課後デイ,月～土,平日１０：００～１３：００、１４：００～１７：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,PT○,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、課外活動／調理活動／創作活動,○,,トランポリン、バランスストーン、運動用マット、電子ピアノ、机椅子,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、課外活動/調理活動/創作活動 専門職: PT○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
スマイルライフ,埼玉県さいたま市見沼区御蔵1522-21,048-716-3859,児童発達支援・放課後デイ,月～金,平日１４：３０～１７：３０ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、調理活動／創作活動／課外活動,,,テレビ、運動遊び用ゲーム、調理用IHコンロ、オーブンレンジ、冷蔵庫,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST、調理活動/創作活動/課外活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイ　あったまぁる山,埼玉県さいたま市見沼区山118-5,048-872-6511,放課後デイ,月～金 土(第1，第3),平日１３：３０～１７：３０ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,音楽/リトミック、学習支援、日常動作、SST、ダンス・ストレッチ／工作・作業／調理活動,○,,大きな庭,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 音楽/リトミック、学習支援、日常動作、SST、ダンス・ストレッチ/工作・作業/調理活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
さいたま市はるの園,埼玉県さいたま市見沼区春野2-3-5,048-682-5531,児童発達支援,月～金,平日９:００～１７：００,PT○、OT○、ST○、臨床心理士○,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、感触遊び,○,,感覚遊具、エアポリン、滑り台、平均台、ボールプール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、感触遊び 専門職: PT○、OT○、ST○、臨床心理士○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　こすもす,埼玉県さいたま市見沼区深作3-33-15,048-884-8285,放課後デイ,月～土,平日１４：３０～１８：００ 土曜日１０：００～１７：００ 学校休業日１０：００～１７：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、タブレット学習／習字・硬筆／音楽活動,○,,タブレット、電子ピアノ、ハンドベル、習字・水筆・硬筆セット、ＵＶレジンキット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、タブレット学習/習字・硬筆/音楽活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
たんぽぽ療育教室,埼玉県さいたま市見沼区染谷3-420-2,080-5512-7560,児童発達支援・放課後デイ,月～土,平日１１：００～１７：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,PT○,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、畑体験,,,庭の畑スペース,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、畑体験 専門職: PT○ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラス　さいたま見沼教室,埼玉県さいたま市見沼区大字新堤58-12,048-796-5992,児童発達支援,火～土,１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、フラッシュカード／創作的活動／小集団プログラム,○,○,トランポリン、バランスボール、バランスストーン、鉄棒、マットなど,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、フラッシュカード/創作的活動/小集団プログラム 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
デイジー,埼玉県さいたま市見沼区大字風渡野430-27 ドリームコート101号室,048-795-4870,児童発達支援・放課後デイ,月～土・祝日,児童発達支援 平日　　　　 １０：００～１３：３０ 土曜・祝日　１０：００～１３：３０ 放課後等デイサービス 平日          １４：３０～１７：３０ 土曜・祝日  １０：００～１６：００ 学校休業日 １０：００～１６：００,,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、創作活動／外出活動,,,ボールプール、バランスボール、クッショントランポリン,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST、創作活動/外出活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
サンFC大宮,埼玉県さいたま市見沼区大和田町1-1481-1 ケーアイ大和田ビル南棟3階,048-778-9661,放課後デイ,月～土,平日１４：００～１８：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,臨床心理士○,粗大運動、言語指導、サッカー,,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、言語指導、サッカー 専門職: 臨床心理士○ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　シャイニー,埼玉県さいたま市見沼区中川241-5,048-681-7600,放課後デイ,月～金,平日１４：００～１７：００ 学校休業日１０：００～１６：００,PT○,粗大運動、微細運動、音楽/リトミック、日常動作,○,,ｽﾇｰｽﾞﾚﾝﾙｰﾑ、介護用ベッド、ﾊﾟﾙｽｵｷｼﾒｰﾀｰ、ﾊﾞﾗﾝｽﾎﾞｰﾙ、体操マット、教育楽器（ｷｰﾎﾞｰﾄﾞ・ﾀﾝﾊﾞﾘﾝ他）,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、日常動作 専門職: PT○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
グローバルキッズメソッド７９,埼玉県さいたま市見沼区東大宮1-85-3,048-795-4451,児童発達支援,月～土、祝日,平日８：００～１８：００ 土曜日８：００～１８：００ 学校休業日８：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス／郊外活動／創作活動,○,,巧技台、トランポリン、平均台、すべり台、体操マット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス/郊外活動/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラス　東大宮教室,埼玉県さいたま市見沼区東大宮4-17-8 ルーブルビル1階,048-780-2804,児童発達支援,火～土 (祝日除く）,１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,○,○,バランスボール、トランポリン、鉄棒、平均台、ラダー,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　ウィズ東大宮,埼玉県さいたま市見沼区東大宮4-23-1,048-788-1993,放課後デイ,月～金,平日１３：００～１８：００ 学校休業日１０：００～１８：００,精神保健福祉士○,学習支援、日常動作、SST、創作活動,,,トランポリン、ブロックマット、バランスボール、ボールプール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 学習支援、日常動作、SST、創作活動 専門職: 精神保健福祉士○ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ハッピーキッズスペースみんと東大宮,埼玉県さいたま市見沼区東大宮5-10-10 セゾンハウス1階,048-680-1555,児童発達支援・放課後デイ,月～日,平日１３：３０～１７：３０ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、運動療育／創作・調理活動／外出,,,跳び箱、鉄棒、バランスボール、トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、運動療育/創作・調理活動/外出 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
スタディラボ　Ｍｙ　room,埼玉県さいたま市見沼区東大宮5-15-1 1F,048-676-5560,放課後デイ,月～金,平日１３：００～１７：３０ 学校休業日１０：００～１６：００,,微細運動、言語指導、学習支援、日常動作、SST、創作活動／調理活動／屋外活動,○,,トランポリン、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 微細運動、言語指導、学習支援、日常動作、SST、創作活動/調理活動/屋外活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイ　きらっと,埼玉県さいたま市見沼区東大宮5-22-21,048-681-0360,放課後デイ,月～土,平日１０：００～１９：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／調理活動／ダンス,○,,平均台、バランスボール、バランスストーン、ボッチャ,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動/調理活動/ダンス 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
あすぽーと東大宮,埼玉県さいたま市見沼区東大宮5-34-2 山田ビル203,048-797-6066,放課後デイ,月～土,平日１０：００～１９：００ 土曜日９：００～１８：００ 学校休業日９：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング／アナログゲーム療育／創作活動,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング/アナログゲーム療育/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
おひさま　見沼事業所,埼玉県さいたま市見沼区風渡野400-1,048-682-6810,児童発達支援・放課後デイ,月～金,平日１０：００～１８：００ 学校休業日１０:００～１７:００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／作業指導,,,ピアノ、バランスボール、ボールプール、パラバルーン、楽器,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動/作業指導 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
アイダージュニア　さいたま中央教室,埼玉県さいたま市中央区下落合6-2-5 WADA11 1階,048-711-5910,児童発達支援・放課後デイ,月～土,児童発達 平日１０：００～１２：００　１３：００～１７：００ 土曜９：００～１６：００ 学校休校日１０：００～１６：００ 放課後等デイサービス 平日１２：００～１８：００ 土曜９：００～１６：００ 学校休校日１０：００～１６：００,PT○,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動／体幹トレーニング,○,○,トランポリン、大型スイング遊具、ボールプール、跳び箱、鉄棒,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動/体幹トレーニング 専門職: PT○ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後デイGrannyさいたま中央,埼玉県さいたま市中央区下落合1089-1,048-767-8423,放課後デイ,月～土,平日１５：００～１６：３０　（火、木、金、保護者の依頼にて １１：００～受け入れ） 土曜日１０：００～１６：００ 祝日１０：００～１６：００ 学校休業日１０：００～１６：００,PT○,音楽/リトミック,,,キーボード,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 音楽/リトミック 専門職: PT○ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　ウィズ・ユー与野,埼玉県さいたま市中央区下落合1655-18 メゾン下落合,048-708-2541,児童発達支援・放課後デイ,月～土,平日１０：００～１７：３０ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、外出活動／調理活動,○,,トランポリン、ボルタリング,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、外出活動/調理活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ててスクール　与野教室,埼玉県さいたま市中央区下落合1711-111,048-767-8927,放課後デイ,月～土,平日１０：３０～１９：３０ 土曜日９：００～１８：００ 学校休業日９：００～１８：００,,学習支援、日常動作、創作活動／絵画制作,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 学習支援、日常動作、創作活動/絵画制作 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
プティ倶楽部　南与野,埼玉県さいたま市中央区上峰3-3-12 小川ビルV2階,048-637-8686,放課後デイ,月～土,平日１４：００～1８：００ 土曜日９：００～１７：００ 学校休業日９：００～１７：００,臨床発達心理士○,粗大運動、微細運動、学習支援、日常動作、SST、課外活動（公園、動物園、科学館等）／調理活動（おやつ作り等）／プログラミング教育活動(PC/タブレット),○,,トランポリン、平均台、鉄棒,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、学習支援、日常動作、SST、課外活動(公園、動物園、科学館等)/調理活動(おやつ作り等)/プログラミング教育活動(PC/タブレット) 専門職: 臨床発達心理士○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
アフタースクール　フォーワンズ・エスキッズ,埼玉県さいたま市中央区上峰3-3-12 小川ビルV1階,048-711-1601,児童発達支援・放課後デイ,月～土,平日１３：３０～１７：３０ 土曜日・祝日・学校休業日１０：００～１６：３０,,粗大運動、微細運動、日常動作、SST、ダンス／創作活動,,,トランポリン,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、日常動作、SST、ダンス/創作活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
カルテット　ジュニア,埼玉県さいたま市中央区上落合2-10-6,048-706-8726,児童発達支援・放課後デイ,月～金,平日９：４５～１７：００ 学校休業日１０：００～１７：００,,微細運動、学習支援、日常動作、SST、創作活動,○,,トランポリン、バランスボール、体操用マット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 微細運動、学習支援、日常動作、SST、創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
バンブーワァオ　与野校,埼玉県さいたま市中央区新中里3-7-26,048-767-7311,児童発達支援・放課後デイ,月～土 第4日曜日,１０：００～１７：００,PT○、公認心理師◎、臨床発達心理士◎,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、知育・運動・社会性,○,○,バランスボール、平均台、大ブロック、砂場、鉄棒,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、知育・運動・社会性 専門職: PT○、公認心理師◎、臨床発達心理士◎ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
さいたま市　杉の子園,埼玉県さいたま市中央区大戸2-7-17,048-855-2356,児童発達支援,月～金,平日９：００～１７：００,OT○、ST○、臨床心理士○,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST,○,,スイング、トランポリン、巧技台、ボールプール、固定遊具,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST 専門職: OT○、ST○、臨床心理士○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
風の子クラブ,埼玉県さいたま市中央区八王子4-1-21,048-858-0121,放課後デイ,平日月から金曜日と第一土曜日以外の 土曜日,平日１５：００～１７：３０ 土曜日１０：００～１７：００ 学校休業日：１０：００～１７：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,,,トランポリン、バランスボール、ピアノ、和太鼓、ブランコ,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイサービスtokotoko,埼玉県さいたま市中央区八王子4-7-15,048-856-0548,児童発達支援・放課後デイ,水～日,１１：３０～１７：３０,ST○、公認心理師◎、臨床心理士◎,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、掃除／作業／音楽,○,,トランポリン、ロクボク、バランスボールミニバスケットボール、ブランコ、ハンモック,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、掃除/作業/音楽 専門職: ST○、公認心理師◎、臨床心理士◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイ　太陽の子,埼玉県さいたま市中央区八王子5-2-14,048-711-1850,児童発達支援・放課後デイ,月～金,平日１４：００～１８：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、日常動作、ダンス／創作活動,○,,トランポリン、バランスボール、ボールプール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、日常動作、ダンス/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　ハッピー,埼玉県さいたま市中央区本町東4-17-6,048-853-2655,放課後デイ,月～金,１０：００～１６：００,,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、同法人の運営する生活介護での作業を職業体験／日常生活訓練の調理／毎日公園運動,,,バランスボール、トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST、同法人の運営する生活介護での作業を職業体験/日常生活訓練の調理/毎日公園運動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　ハッピーひまわり,埼玉県さいたま市中央区本町東4-17-6,048-853-2655,放課後デイ,月～金,１０：００～１６：００,,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、同法人の運営する生活介護での作業を職業体験／日常生活訓練の調理／毎日公園運動,,,バランスボール、トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST、同法人の運営する生活介護での作業を職業体験/日常生活訓練の調理/毎日公園運動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
アイビーキッズ南与野,埼玉県さいたま市中央区鈴谷2-621-6,048-767-6188,児童発達支援,火～土,平９：３０～１７：００ 土曜日９：３０～１７：００ 休業日９：３０～１７：００,OT◎,粗大運動、微細運動、言語指導、日常動作、SST,○,,サンライトスイング、チューブスイング、モンキースイング、タワーラダー、円盤ブランコ、トランポリン、丸形はしご,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、日常動作、SST 専門職: OT◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　さくらぱれっと,埼玉県さいたま市中央区鈴谷3-12-15,048-859-5200,児童発達支援・放課後デイ,月～金,平日１２：００～１８：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、屋外体験活動／創作活動,,,多目的運動室、屋内ブランコ、ミニアスレチック、ミニトランポリン、プール設備（夏季のみ）,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、屋外体験活動/創作活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
